彖	乛豕 vu
圈	囗乛 kv
圉	囗干 kg
圊	囗月 ko
圐	囗方 kf
圙	囗面 km
土	十一 ua
圢	土丁 td
圩	土于 ty
圭	土土 tt
圮	土己 tj
圯	土巳 ts
圲	土千 tq
圹	土广 tg
址	土止 tv
坂	土又 ty
均	土冫 td
坊	土方 tf
坋	土刀 td
坌	八土 bt
坍	土丹 td
坎	土人 tr
坑	土几 tj
坛	土厶 ts
坜	土力 tl
坝	土人 tr
坟	土文 tw
坠	阝土 et
坡	土又 ty
坥	土且 tq
坨	土匕 tb
坩	土甘 tg
坪	土平 tp
坫	土口 tk
坭	土匕 tb
坳	土力 tl
坷	土口 tk
坽	土龴 ts
垂	丿一 pa
垃	土立 tl
垆	土尸 tu
垈	亻土 rt
型	开土 kt
垌	土口 tk
垍	土自 tz
垎	土口 tk
垓	土人 tr
垙	土兀 tw
垚	土土 tt
垛	土木 tm
垞	土七 tq
垡	亻土 rt
垢	土口 tk
垤	土土 tt
垧	土口 tk
垫	扌土 ft
垯	土辶 tz
垱	土彐 te
垵	土女 tn
垸	土儿 te
垺	土子 tz
垾	土干 tg
埂	土更 tg
埋	土里 tl
埏	土廴 tz
埕	土王 tw
埘	土寸 tc
埙	土人 tr
埝	土心 tx
埤	土十 tu
埪	土工 tg
埭	土乀 tn
埵	土垂 ti
埸	土勿 tw
埼	土口 tk
堃	方土 ft
堇	廿一 na
堉	土月 to
堋	土月 to
堌	土口 tk
堎	土夂 tw
堐	土土 tt
堑	车土 it
堠	土矢 tu
堡	亻土 rt
堤	土人 tr
堧	土大 td
堵	土日 to
堼	土土 tt
堾	土日 to
塄	土方 tf
塅	土又 ty
塌	土习 tx
塍	月土 ot
塘	土口 tk
塝	土方 tf
填	土八 tb
塬	土小 tx
塾	亠土 wt
墀	土牛 tn
墁	土又 ty
境	土儿 te
墅	里土 lt
墈	土力 tl
墐	土一 ta
墒	土口 tk
墕	土灬 th
墙	土口 tk
墚	土木 tm
增	土日 to
墡	土口 tk
墦	土田 tt
墩	土攵 tw
士	十一 ua
壳	士几 uj
备	夂田 wt
夕	丿丶 pd
夙	几歹 jd
多	夕夕 xx
夤	夕八 xb
夥	果夕 gx
大	𠂇乀 un
天	一大 ad
夯	大力 dl
失	丿夫 pf
奄	大电 dd
奇	大口 dk
奈	大小 dx
奋	大田 dt
奎	大土 dt
契	丰大 fd
奓	大夕 dx
奖	冫大 dd
套	大厶 ds
奚	丿大 pd
奢	大日 do
奭	大百 db
奴	女又 ny
奸	女干 ng
好	女子 nz
如	女口 nk
妃	女己 nj
妄	亡女 wn
妇	女彐 ne
妈	女马 nm
妒	女户 nh
妓	女又 ny
妖	女夭 ny
妘	女厶 ns
妞	女丑 ni
妣	女匕 nb
妥	丿女 pn
妧	女儿 ne
妨	女方 nf
妩	女无 nw
妫	女为 nw
妭	女丶 nd
妮	女匕 nb
妹	女未 nw
姈	女龴 ns
始	女口 nk
姐	女且 nq
姑	女口 nk
姒	女人 nr
姓	女生 nu
姗	女册 nc
姝	女朱 nv
姞	女口 nk
姣	女乂 nx
姤	女口 nk
姥	女匕 nb
姨	女夷 ny
姶	女口 nk
姹	女七 nq
姻	女大 nd
姽	女乛 nv
姿	冫女 dn
娀	女𠂇 nu
娃	女土 nt
娆	女兀 nw
娌	女里 nl
娑	氵女 dn
娜	女阝 ne
娩	女乛 nv
娱	女天 nt
娴	女木 nm
娵	女又 ny
娼	女日 no
婀	女口 nk
婆	氵女 dn
婉	女乛 nv
婌	女又 ny
婍	女口 nk
婕	女人 nr
婘	女乛 nv
婚	女日 no
婞	女干 ng
婢	女十 nu
婤	女口 nk
婧	女月 no
婪	木女 mn
婫	女匕 nb
婵	女丨 nl
婷	女丁 nd
婻	女干 ng
婼	女口 nk
婿	女月 no
媂	女巾 nj
媄	女大 nd
媆	女大 nd
媒	女木 nm
媓	女王 nw
媖	女央 ny
媚	女目 no
媛	女又 ny
媞	女人 nr
媱	女缶 nf
媲	女匕 nb
媳	女心 nx
媵	月女 on
媸	女虫 ni
嫄	女小 nx
嫉	女矢 nu
嫌	女乀 nn
嫒	女又 ny
嫔	女八 nb
嫖	女小 nx
嫘	女小 nx
嫚	女又 ny
嫜	女十 nu
嫣	女灬 nh
嫦	女巾 nj
嫫	女大 nd
嬉	女口 nk
嬬	女而 ne
嬷	女么 nm
嬿	女灬 nh
孀	女目 no
孖	子子 zz
字	宀子 bz
孙	子小 zx
孢	子巳 zs
孥	女子 nz
孩	子人 zr
孳	丷子 bz
孺	子而 ze
宁	宀丁 bd
它	宀匕 bb
宇	宀于 by
守	宀寸 bc
安	宀女 bn
宋	宀木 bm
完	宀儿 be
宕	宀石 bu
宗	宀小 bx
定	宀人 br
宜	宀且 bq
宝	宀玉 by
实	宀大 bd
客	宀口 bk
室	宀土 bt
宥	宀月 bo
宪	宀儿 be
宫	宀口 bk
宰	宀十 bu
害	宀口 bk
宴	宀女 bn
宵	宀月 bo
容	宀口 bk
宾	宀八 bb
宿	宀百 bb
寂	宀又 by
寄	宀口 bk
寅	宀八 bb
寐	宀未 bw
寝	宀又 by
寞	宀大 bd
察	宀小 bx
寡	宀刀 bd
寤	宀口 bk
寸	一丶 ad
封	土寸 tc
尉	尸寸 uc
尚	⺌口 xk
尪	尢王 yw
尴	尢皿 ym
尼	尸匕 ub
尿	尸水 uu
局	尸口 uk
屁	尸匕 ub
层	尸厶 us
屃	尸人 ur
居	尸口 uk
屈	尸出 ui
屋	尸土 ut
屎	尸米 um
屐	尸又 uy
屑	尸月 uo
屙	尸口 uk
屠	尸日 uo
屡	尸女 un
履	尸夂 uw
屦	尸女 un
山	丨凵 lk
屺	山己 ej
屼	山兀 ew
屾	山山 ee
岁	山夕 ex
岂	山己 ej
岊	巴山 be
岐	山又 ey
岔	八山 be
岗	山乂 ex
岚	山乂 ex
岜	山巴 eb
岞	山乍 ev
岢	山口 ek
岣	山口 ek
岨	山且 eq
岩	山石 eu
岭	山龴 es
岱	亻山 re
岵	山口 ek
岸	山干 eg
岽	山东 ed
岿	山彐 ee
峁	山卩 ee
峄	山丨 el
峋	山日 eo
峒	山口 ek
峗	山乛 ev
峙	山寸 ec
峛	山刂 ed
峡	山夹 ej
峣	山兀 ew
峧	山乂 ex
峪	山口 ek
峭	山月 eo
峰	山丰 ef
峿	山口 ek
崁	山人 er
崂	山力 el
崃	山来 el
崆	山工 eg
崇	山小 ex
崌	山口 ek
崎	山口 ek
崒	山十 eu
崖	山土 et
崚	山夂 ew
崛	山出 ei
崞	山子 ez
崤	山月 eo
崧	山厶 es
崩	山月 eo
崮	山口 ek
崶	山寸 ec
崽	山心 ex
崾	山女 en
嵊	山乀 en
嵋	山目 eo
嵌	山人 er
嵘	山木 em
嵚	山人 er
嵛	山刂 ed
嵝	山女 en
嵩	山口 ek
嵫	山幺 ey
嵬	山鬼 eg
嵯	山工 eg
嵲	山木 em
嵴	山月 eo
嶂	山十 eu
嶒	山日 eo
嶓	山田 et
嶟	山寸 ec
嶷	山人 er
巅	山人 er
巍	山鬼 eg
差	⺶工 yg
巾	丨丨 ll
市	亠巾 wj
帑	女巾 nj
帔	巾又 jy
帕	巾白 jb
帖	巾口 jk
帙	巾失 ju
帜	巾八 jb
帧	巾人 jr
帨	巾儿 je
帱	巾寸 jc
帻	巾人 jr
帼	巾玉 jy
帽	巾目 jo
幄	巾土 jt
幌	巾兀 jw
幔	巾又 jy
幖	巾小 jx
幛	巾十 ju
幡	巾田 jt
幢	巾里 jl
干	一十 au
幽	山幺 ey
广	丶厂 di
庄	广土 gt
庆	广大 gd
庇	广匕 gb
庋	广又 gy
庐	广户 gh
庑	广无 gw
库	广车 gi
庖	广巳 gs
店	广口 gk
府	广寸 gc
庤	广寸 gc
庥	广木 gm
度	广又 gy
座	广土 gt
庭	广廴 gz
庳	广十 gu
庶	广灬 gh
康	广乀 gn
庼	广人 gr
庾	广臾 gy
廆	广鬼 gg
廉	广乀 gn
廊	广阝 ge
廋	广又 gy
廑	广一 ga
廓	广阝 ge
廛	广土 gt
廨	广牛 gn
廷	廴壬 zr
当	⺌彐 xe
彷	彳方 if
役	彳又 iy
彻	彳刀 id
彼	彳又 iy
往	彳主 iv
征	彳正 iv
徂	彳且 iq
径	彳工 ig
待	彳寸 ic
徇	彳日 io
徊	彳口 ik
徒	彳人 ir
徕	彳来 il
得	彳寸 ic
徘	彳非 if
徛	彳口 ik
徜	彳口 ik
御	彳卩 ie
徨	彳王 iw
循	彳目 io
徭	彳缶 if
微	彳攵 iw
徵	彳攵 iw
德	彳心 ix
徽	彳攵 iw
心	丶丶 dd
忉	忄刀 xd
忍	刃心 rx
忏	忄千 xq
忖	忄寸 xc
忘	亡心 wx
忞	文心 wx
忠	中心 vx
忤	忄午 xw
忪	忄厶 xs
忮	忄又 xy
念	人心 rx
忸	忄丑 xi
忺	忄人 xr
忽	勿心 wx
忾	忄气 xq
忿	八心 bx
态	太心 tx
怂	人心 rx
怃	忄无 xw
怆	忄乛 xv
怊	忄口 xk
怍	忄乍 xv
怎	乍心 vx
怏	忄央 xy
怒	女心 nx
怔	忄正 xv
怕	忄白 xb
怖	忄巾 xj
怙	忄口 xk
怜	忄龴 xs
怡	忄口 xk
怦	忄平 xp
性	忄生 xu
怩	忄匕 xb
怪	忄土 xt
怯	忄厶 xs
怼	又心 yx
恁	亻心 rx
恂	忄日 xo
恃	忄寸 xc
恍	忄兀 xw
恐	工心 gx
恓	忄西 xx
恔	忄乂 xx
恕	女心 nx
恚	土心 tx
恝	丰心 fx
恢	忄火 xh
恣	冫心 dx
恤	忄血 xx
恧	而心 ex
恩	囗心 kx
恪	忄口 xk
恫	忄口 xk
恬	忄口 xk
恰	忄口 xk
恸	忄力 xl
恹	忄犬 xq
恻	忄刂 xd
恽	忄车 xi
恿	龴心 sx
悃	忄木 xm
悄	忄月 xo
悆	人心 rx
悍	忄干 xg
悚	忄束 xu
悝	忄里 xl
悟	忄口 xk
患	串心 ix
悦	忄儿 xe
您	亻心 rx
悫	士心 ux
悭	忄土 xt
悰	忄小 xx
悱	忄非 xf
悴	忄十 xu
悸	忄子 xz
悻	忄干 xg
悼	忄十 xu
情	忄月 xo
惆	忄口 xk
惇	忄子 xz
惊	忄小 xx
惋	忄乛 xv
惑	戈心 gx
惔	忄火 xh
惕	忄勿 xw
惚	忄心 xx
惛	忄日 xo
惜	忄日 xo
惝	忄口 xk
惦	忄口 xk
惧	忄八 xb
惩	彳心 ix
惫	夂心 wx
惮	忄丨 xl
惯	忄人 xr
惰	忄月 xo
想	木心 mx
惴	忄而 xe
惶	忄王 xw
惺	忄生 xu
愀	忄火 xh
愆	彳心 ix
愈	人心 rx
愉	忄刂 xd
愎	忄夂 xw
愐	忄面 xm
愔	忄日 xo
愚	禺心 yx
感	戌心 xx
愣	忄方 xf
愤	忄人 xr
愦	忄人 xr
愧	忄鬼 xg
愫	忄小 xx
愿	厂心 ix
慆	忄臼 xj
慈	丷心 bx
慊	忄乀 xn
慎	忄八 xb
慑	忄又 xy
慢	忄又 xy
慥	忄辶 xz
慨	忄乛 xv
慬	忄一 xa
慰	尸心 ux
慷	忄乀 xn
憎	忄日 xo
憔	忄灬 xh
憙	士心 ux
憧	忄里 xl
憩	千心 qx
憬	忄小 xx
憷	忄人 xr
憾	忄心 xx
懂	忄重 xv
懈	忄牛 xn
懊	忄大 xd
懋	木心 mx
懑	氵心 dx
懒	忄人 xr
懦	忄而 xe
戈	一丶 ad
戎	戈𠂇 gu
戏	又戈 yg
戗	人戈 rg
戥	日戈 og
戭	宀戈 bg
戾	户犬 hq
房	户方 hf
扁	户艹 hc
扂	户口 hk
扃	户口 hk
扅	户夕 hx
扆	户𧘇 hy
扉	户非 hf
扊	户火 hh
扒	扌八 fb
打	扌丁 fd
扛	扌工 fg
扞	扌干 fg
扣	扌口 fk
扦	扌千 fq
扩	扌广 fg
扪	扌门 fm
扫	扌彐 fe
扭	扌丑 fi
扮	扌刀 fd
扯	扌止 fv
扳	扌又 fy
扶	扌夫 ff
批	扌匕 fb
扼	扌乛 fv
找	扌戈 fg
技	扌又 fy
把	扌巴 fb
抑	扌卩 fe
投	扌又 fy
抗	扌几 fj
抚	扌无 fw
抛	扌力 fl
抡	扌匕 fb
抢	扌乛 fv
护	扌户 fh
报	扌又 fy
抨	扌平 fp
披	扌又 fy
抬	扌口 fk
抱	扌巳 fs
抹	扌末 fm
拃	扌乍 fv
拄	扌主 fv
拈	扌口 fk
拉	扌立 fl
拊	扌寸 fc
拌	扌半 fb
拍	扌白 fb
拎	扌龴 fs
拐	扌力 fl
拓	扌石 fu
拗	扌力 fl
拘	扌口 fk
拙	扌出 fi
招	扌口 fk
拟	扌人 fr
拦	扌三 fs
拧	扌丁 fd
括	扌口 fk
拭	扌工 fg
拮	扌口 fk
拱	扌八 fb
拴	扌王 fw
拶	扌夕 fx
拾	扌口 fk
持	扌寸 fc
挂	扌土 ft
指	扌日 fo
按	扌女 fn
挓	扌七 fq
挝	扌辶 fz
挞	扌辶 fz
挟	扌夹 fj
挠	扌兀 fw
挡	扌彐 fe
挥	扌车 fi
挦	扌寸 fc
挪	扌阝 fe
挫	扌土 ft
挺	扌廴 fz
挽	扌乛 fv
捂	扌口 fk
捃	扌口 fk
捆	扌木 fm
捉	扌人 fr
捌	扌刂 fd
捍	扌干 fg
捎	扌月 fo
捐	扌月 fo
捞	扌力 fl
损	扌人 fr
换	扌大 fd
捣	扌山 fe
捭	扌十 fu
据	扌口 fk
捯	扌刂 fd
捶	扌垂 fi
捷	扌人 fr
捺	扌小 fx
捻	扌心 fx
捽	扌十 fu
掀	扌人 fr
掂	扌口 fk
授	扌又 fy
掉	扌十 fu
掎	扌口 fk
排	扌非 ff
掘	扌出 fi
掞	扌火 fh
掠	扌小 fx
接	扌女 fn
控	扌工 fg
措	扌日 fo
掮	扌月 fo
掳	扌力 fl
掴	扌玉 fy
掷	扌阝 fe
掸	扌丨 fl
掼	扌人 fr
揄	扌刂 fd
揉	扌木 fm
揍	扌天 ft
描	扌田 ft
提	扌人 fr
握	扌土 ft
揣	扌而 fe
揩	扌白 fb
揪	扌火 fh
揳	扌大 fd
援	扌又 fy
揶	扌阝 fe
揿	扌人 fr
搁	扌口 fk
搂	扌女 fn
搋	扌几 fj
搒	扌方 ff
搓	扌工 fg
搛	扌乀 fn
搞	扌口 fk
搡	扌木 fm
搦	扌冫 fd
搪	扌口 fk
搬	扌又 fy
搽	扌朩 fm
摁	扌心 fx
摄	扌又 fy
摅	扌心 fx
摆	扌厶 fs
摇	扌缶 ff
摈	扌八 fb
摛	扌丶 fd
摞	扌小 fx
摸	扌大 fd
摽	扌小 fx
撂	扌口 fk
撄	扌女 fn
撒	扌攵 fw
撖	扌攵 fw
撙	扌寸 fc
撞	扌里 fl
撤	扌攵 fw
播	扌田 ft
撮	扌又 fy
撰	扌八 fb
撷	扌人 fr
撸	扌日 fo
撼	扌心 fx
擀	扌干 fg
擂	扌田 ft
操	扌木 fm
擒	扌丶 fd
擞	扌攵 fw
擦	扌小 fx
擿	扌辶 fz
攒	扌人 fr
支	十又 uy
攸	亻攵 rw
攽	八攵 bw
故	十攵 uw
效	亠攵 ww
敉	米攵 mw
敏	丿攵 pw
敔	五攵 ww
教	耂攵 lw
敝	丶攵 dw
敞	⺌攵 xw
散	艹攵 cw
敦	亠攵 ww
敩	𭕄攵 xw
敫	白攵 bw
数	米攵 mw
斋	文而 we
斌	文止 wv
斑	王王 ww
旃	方丹 fd
旋	方人 fr
旌	方生 fu
旎	方匕 fb
族	方矢 fu
旖	方口 fk
旗	方八 fb
旞	方辶 fz
早	日十 ou
旰	日干 og
旱	日干 og
旴	日于 oy
旵	日山 oe
时	日寸 oc
旷	日广 og
旺	日王 ow
旿	日午 ow
昀	日冫 od
昂	日卩 oe
昄	日又 oy
昆	日匕 ob
昈	日户 oh
昉	日方 of
昊	日天 ot
昌	日日 oo
明	日月 oo
昒	日勿 ow
易	日勿 ow
昙	日厶 os
昝	夂日 wo
星	日生 ou
映	日央 oy
昡	日幺 oy
昤	日龴 os
昧	日未 ow
昨	日乍 ov
昫	日口 ok
昭	日口 ok
昱	日立 ol
昳	日失 ou
昴	日卩 oe
昵	日匕 ob
昺	日丙 ob
晃	日兀 ow
晊	日土 ot
晌	日口 ok
晏	日女 on
晐	日人 or
晒	日西 ox
晓	日兀 ow
晔	日十 ou
晕	日车 oi
晖	日车 oi
晗	日口 ok
晙	日夂 ow
晚	日乛 ov
晞	日巾 oj
晢	扌日 fo
晤	日口 ok
晪	日八 ob
晫	日十 ou
景	日小 ox
晱	日火 oh
晴	日月 oo
晶	日日 oo
智	矢日 uo
晾	日小 ox
暂	车日 io
暌	日天 ot
暑	日日 oo
暖	日又 oy
暗	日日 oo
暧	日又 oy
暲	日十 ou
暴	日氺 ou
暵	日乀 on
暶	日人 or
暾	日攵 ow
暿	日口 ok
曈	日里 ol
曙	日日 oo
曛	日灬 oh
曝	日氺 ou
曼	日又 oy
最	日又 oy
朋	月月 oo
服	月又 oy
朏	月出 oi
朐	月口 ok
朔	丷月 bo
朕	月天 ot
望	亡王 ww
木	十乀 un
朱	丿未 pw
朳	木八 mb
朸	木力 ml
机	木几 mj
权	木又 my
杄	木千 mq
杆	木干 mg
杌	木兀 mw
李	木子 mz
村	木寸 mc
杕	木大 md
杙	木弋 my
杜	木土 mt
杞	木己 mj
杠	木工 mg
条	夂朩 wm
杩	木马 mm
杭	木几 mj
杲	日木 om
杳	木日 mo
杵	木午 mw
杷	木巴 mb
杻	木丑 mi
松	木厶 ms
板	木又 my
构	木厶 ms
枇	木匕 mb
枉	木王 mw
枋	木方 mf
林	木木 mm
枘	木内 mn
枚	木攵 mw
枝	木又 my
枞	木人 mr
枥	木力 ml
枪	木乛 mv
枫	木乂 mx
枯	木口 mk
枰	木平 mp
枳	木八 mb
架	力木 lm
枷	木口 mk
枸	木口 mk
枹	木巳 ms
柁	木匕 mb
柃	木龴 ms
柄	木丙 mb
柈	木半 mb
柏	木白 mb
柑	木甘 mg
柒	氵木 dm
柔	龴木 sm
柖	木口 mk
柘	木石 mu
柞	木乍 mv
柠	木丁 md
柯	木口 mk
柰	木小 mx
柱	木主 mv
柳	木卩 me
柴	止木 vm
柷	木儿 me
柽	木土 mt
柿	木巾 mj
栅	木册 mc
标	木小 mx
栈	木戋 mj
栉	木卩 me
栋	木东 md
栌	木尸 mu
栏	木三 ms
树	木寸 mc
栒	木日 mo
栓	木王 mw
栖	木西 mx
栗	西木 xm
栝	木口 mk
校	木乂 mx
栩	木习 mx
株	木朱 mv
栳	木匕 mb
栴	木丹 md
核	木人 mr
栻	木工 mg
格	木口 mk
桂	木土 mt
桄	木兀 mw
桅	木乛 mv
桉	木女 mn
桎	木土 mt
桐	木口 mk
桔	木口 mk
桕	木臼 mj
桡	木兀 mw
桢	木人 mr
档	木彐 me
桦	木十 mu
桧	木厶 ms
桨	冫木 dm
桩	木土 mt
桯	木王 mw
桴	木子 mz
梃	木廴 mz
梆	木阝 me
梏	木口 mk
梓	木十 mu
梗	木更 mg
梠	木口 mk
梢	木月 mo
梧	木口 mk
梴	木廴 mz
梼	木寸 mc
梽	木心 mx
梾	木来 ml
梿	木辶 mz
棁	木儿 me
棂	木火 mh
棋	木八 mb
棍	木匕 mb
棕	木小 mx
棚	木月 mo
棣	木乀 mn
棤	木日 mo
棨	户木 hm
棪	木火 mh
棬	木乛 mv
森	木木 mm
棰	木垂 mi
棵	木果 mg
棹	木十 mu
椀	木乛 mv
椁	木子 mz
椅	木口 mk
椆	木口 mk
椋	木小 mx
椐	木口 mk
椑	木十 mu
椒	木又 my
椟	木大 md
椠	车木 im
椤	木夕 mx
椰	木阝 me
椴	木又 my
椿	木日 mo
楒	木心 mx
楔	木大 md
楗	木廴 mz
楙	木木 mm
楞	木方 mf
楠	木干 mg
楣	木目 mo
楩	木更 mg
楪	木木 mm
楮	木日 mo
楯	木目 mo
楷	木白 mb
楸	木火 mh
楹	木皿 mm
楼	木女 mn
概	木乛 mv
榆	木刂 md
榇	木朩 mm
榈	木口 mk
榍	木月 mo
榔	木阝 me
榕	木口 mk
榛	木禾 mh
榜	木方 mf
榨	木乍 mv
榭	木寸 mc
榴	木田 mt
榻	木习 mx
槁	木口 mk
槃	舟木 vm
槌	木辶 mz
槎	木工 mg
槐	木鬼 mg
槚	木人 mr
槛	木皿 mm
槟	木八 mb
槠	木日 mo
槱	木灬 mh
槽	木日 mo
槿	木一 ma
樊	木大 md
樘	木土 mt
樟	木十 mu
模	木大 md
樨	木牛 mn
横	木八 mb
樯	木口 mk
樱	木女 mn
樵	木灬 mh
樽	木寸 mc
橄	木攵 mw
橞	木心 mx
橥	犭木 qm
橦	木里 ml
橱	木寸 mc
橹	木日 mo
檎	木丶 md
檑	木田 mt
檞	木牛 mn
檠	艹木 cm
檫	木小 mx
欂	木寸 mc
欠	𠂊人 dr
次	冫人 dr
欢	又人 yr
欸	厶人 sr
欹	大人 dr
欻	火人 hr
款	士人 ur
歆	立人 lr
歇	日人 or
歉	丷人 br
歌	丁人 dr
止	丨一 la
此	止匕 vb
歧	止又 vy
死	歹匕 db
歼	歹千 dq
殂	歹且 dq
殃	歹央 dy
殆	歹口 dk
殉	歹日 do
殊	歹朱 dv
残	歹戋 dj
殍	歹子 dz
殒	歹人 dr
殚	歹丨 dl
殡	歹八 db
殣	歹一 da
殳	几又 jy
殿	尸又 uy
毗	田匕 tb
氙	气山 qe
氛	气刀 qd
氢	气工 qg
氤	气大 qd
氦	气人 qr
氨	气女 qn
氪	气儿 qe
氮	气火 qh
氯	气氺 qu
氰	气月 qo
氾	氵乛 dv
汀	氵丁 dd
汁	氵十 du
汉	氵又 dy
汐	氵夕 dx
汕	氵山 de
汗	氵干 dg
汜	氵巳 ds
汝	氵女 dn
江	氵工 dg
汨	氵日 do
汪	氵王 dw
汭	氵内 dn
汶	氵文 dw
汽	氵气 dq
汾	氵刀 dd
沁	氵心 dx
沃	氵夭 dy
沄	氵厶 ds
沅	氵儿 de
沆	氵几 dj
沇	氵儿 de
沏	氵刀 dd
沐	氵木 dm
沘	氵匕 db
沚	氵止 dv
沟	氵厶 ds
没	氵又 dy
沣	氵丰 df
沥	氵力 dl
沦	氵匕 db
沧	氵乛 dv
沨	氵乂 dx
沩	氵为 dw
沪	氵户 dh
沫	氵末 dm
沮	氵且 dq
沱	氵匕 db
河	氵口 dk
沺	氵田 dt
治	氵口 dk
沼	氵口 dk
沽	氵口 dk
沾	氵口 dk
沿	氵口 dk
泃	氵口 dk
泅	氵人 dr
泇	氵口 dk
泊	氵白 db
泐	氵力 dl
泔	氵甘 dg
法	氵厶 ds
泖	氵卩 de
泗	氵儿 de
泙	氵平 dp
泚	氵匕 db
泞	氵丁 dd
泠	氵龴 ds
泡	氵巳 ds
波	氵又 dy
泣	氵立 dl
泥	氵匕 db
注	氵主 dv
泪	氵目 do
泫	氵幺 dy
泮	氵半 db
泱	氵央 dy
泵	石水 uu
泸	氵尸 du
泾	氵工 dg
洁	氵口 dk
洄	氵口 dk
洇	氵大 dd
洈	氵乛 dv
洌	氵刂 dd
洎	氵自 dz
洑	氵犬 dq
洒	氵西 dx
洗	氵儿 de
洙	氵朱 dv
洛	氵口 dk
洞	氵口 dk
洣	氵米 dm
洧	氵月 do
洨	氵乂 dx
洪	氵八 db
洫	氵血 dx
洱	氵耳 de
洳	氵口 dk
洵	氵日 do
洸	氵兀 dw
洺	氵口 dk
活	氵口 dk
洼	氵土 dt
洽	氵口 dk
浃	氵夹 dj
浅	氵戋 dj
浆	冫水 du
浇	氵兀 dw
浈	氵人 dr
浉	氵巾 dj
浊	氵虫 di
测	氵刂 dd
浍	氵厶 ds
浏	氵刂 dd
浑	氵车 di
浒	氵午 dw
浔	氵寸 dc
浛	氵口 dk
浜	氵八 db
浞	氵人 dr
浠	氵巾 dj
浣	氵儿 de
浩	氵口 dk
浬	氵里 dl
浭	氵更 dg
浮	氵子 dz
浯	氵口 dk
浰	氵刂 dd
浲	氵丰 df
浴	氵口 dk
浸	氵又 dy
浼	氵乛 dv
消	氵月 do
涍	氵子 dz
涎	氵廴 dz
涑	氵束 du
涘	氵矢 du
涛	氵寸 dc
涝	氵力 dl
涞	氵来 dl
涟	氵辶 dz
涢	氵人 dr
涣	氵大 dd
涤	氵朩 dm
润	氵王 dw
涧	氵日 do
涩	氵止 dv
涮	氵刂 dd
涯	氵土 dt
涴	氵乛 dv
涸	氵口 dk
淀	氵人 dr
淆	氵月 do
淇	氵八 db
淋	氵木 dm
淌	氵口 dk
淑	氵又 dy
淖	氵十 du
淙	氵小 dx
淜	氵月 do
淝	氵巴 db
淞	氵厶 ds
淟	氵八 db
淡	氵火 dh
淬	氵十 du
淯	氵月 do
深	氵木 dm
淳	氵子 dz
淴	氵心 dx
混	氵匕 db
淼	水水 uu
清	氵月 do
渌	氵氺 du
渍	氵人 dr
渎	氵大 dd
渔	氵鱼 da
渚	氵日 do
渝	氵刂 dd
渟	氵丁 dd
渠	氵木 dm
渡	氵又 dy
渤	氵力 dl
渥	氵土 dt
渫	氵木 dm
渭	氵月 do
港	氵巳 ds
游	氵子 dz
渼	氵大 dd
湃	氵丰 df
湄	氵目 do
湉	氵口 dk
湍	氵而 de
湎	氵面 dm
湑	氵月 do
湓	氵皿 dm
湔	氵刂 dd
湖	氵月 do
湘	氵目 do
湜	氵人 dr
湝	氵白 db
湟	氵王 dw
湫	氵火 dh
湲	氵又 dy
溁	氵木 dm
溃	氵人 dr
溅	氵戋 dj
溆	氵又 dy
溇	氵女 dn
溉	氵乛 dv
溍	氵日 do
溏	氵口 dk
源	氵小 dx
溜	氵田 dt
溞	氵虫 di
溠	氵工 dg
溢	氵皿 dm
溦	氵攵 dw
溧	氵木 dm
溪	氵大 dd
溱	氵禾 dh
溴	氵犬 dq
溵	氵又 dy
溶	氵口 dk
溹	氵小 dx
溺	氵冫 dd
溻	氵习 dx
溽	氵寸 dc
滂	氵方 df
滃	氵习 dx
滇	氵八 db
滉	氵兀 dw
滋	氵幺 dy
滍	氵虫 di
滑	氵骨 dg
滓	氵十 du
滕	月氺 ou
滘	氵口 dk
滞	氵巾 dj
滟	氵巴 db
滠	氵又 dy
满	氵两 dl
滢	氵玉 dy
滤	氵心 dx
滥	氵皿 dm
滦	氵木 dm
滧	氵攵 dw
滨	氵八 db
滪	氵人 dr
漂	氵小 dx
漈	氵小 dx
漉	氵匕 db
漋	氵生 du
漓	氵丶 dd
演	氵八 db
漕	氵日 do
漖	氵攵 dw
漠	氵大 dd
漤	氵女 dn
漩	氵人 dr
漫	氵又 dy
漯	氵小 dx
漳	氵十 du
漴	氵小 dx
漶	氵心 dx
漷	氵阝 de
漹	氵灬 dh
潆	氵小 dx
潇	氵肃 ds
潋	氵攵 dw
潘	氵田 dt
潜	氵日 do
潞	氵口 dk
潟	氵灬 dh
潢	氵八 db
潭	氵十 du
潮	氵月 do
潲	氵月 do
潴	氵日 do
潵	氵攵 dw
潸	氵月 do
潼	氵里 dl
潽	氵日 do
澂	氵攵 dw
澈	氵攵 dw
澉	氵攵 dw
澛	氵日 do
澡	氵木 dm
澥	氵牛 dn
澪	氵龴 ds
澳	氵大 dd
濂	氵乀 dn
濋	氵人 dr
濑	氵人 dr
濒	氵人 dr
濡	氵而 de
瀑	氵氺 du
瀚	氵习 dx
瀛	氵凡 df
灞	氵月 do
火	丶人 dr
灯	火丁 hd
灶	火土 ht
灿	火山 he
炅	日火 oh
炆	火文 hw
炉	火户 hh
炊	火人 hr
炎	火火 hh
炕	火几 hj
炝	火乛 hv
炣	火口 hk
炫	火幺 hy
炭	山火 eh
炮	火巳 hs
炯	火口 hk
炳	火丙 hb
炷	火主 hv
炸	火乍 hv
